"Game ID";"Game Name"
"8894";"007 - Quantum Of Solace"
"9930";"10 Minute Solution"
"9864";"101 In 1 - Explosive Megamix"
"195557";"101-in-1 Party Megamix"
"9486";"101 In 1 Sports - Party Megamix"
"9265";"1080 Snowboarding (N64)"
"9984";"1942 (Arcade)"
"10104";"2 Fast 4 Gnomz"
"195553";"2 In 1 - Pony Friends 2   My Riding Stables - Life With Horses"
"9047";"Coupe Du Monde De La Fifa - Afrique Du Sud 2010"
"140353";"250 Mannin No Kanken - Wii De Tokoton Kanji Nou"
"202944";"25th Anniversary SUPER MARIO BROS (NES)"
"10299";"3d Pixel Racing"
"202946";"3° C"
"195559";"40 Principales, Los - Karaoke Party"
"9833";"428 The World Doesn't Change Even So"
"10553";"5 Arcade Gems"
"10520";"5 In 1 Solitaire"
"10326";"5 Spots Party"
"9977";"Boy And His Blob (NES)"
"8910";"Golden Compass, The"
"9253";"Abba You Can Dance"
"9321";"Academy Of Champions - Soccer"
"195635";"Acb Total 2010-2011"
"9680";"Action Girlz Racing"
"10155";"Actionloop Twist"
"9522";"Family Trainer - Extreme Challenge"
"9445";"Actraiser (SNES)"
"9293";"Adibou Et Les Saisons Magiques"
"202928";"Adventure Island (NES)"
"202924";"Adventure Island II (NES)"
"9688";"Adventure Island - The Beginning"
"9594";"Adventures Of Lolo (NES)"
"10119";"Adventures Of Lolo 2 (NES)"
"10279";"Aero Guitar"
"10316";"Aero The Acro-bat (SNES)"
"202922";"Aero the Acrobat 2 (SNES)"
"140330";"Afl"
"8860";"Agatha Christie - Dix Petits Nègres"
"9015";"Agatha Christie - Les Vacances D'hercule Poirot"
"9884";"Agent Hugo - Hula Holiday"
"9669";"Agent Hugo - Lemoon Twist"
"202950";"Aha! I Found It! : Hidden Object Game"
"200305";"Aha! I Got It! Escape Game"
"203114";"Ai Cho Aniki (TGX)"
"202830";"Air Zonk (TGX)"
"10352";"Airport Mania - First Flight"
"140324";"Akko De Pon! Ikasama Hourou-ki"
"9922";"Aladin Magic Racer"
"203498";"Albert Odyssey (SNES)"
"202860";"Aleste (MSX)"
"9034";"Alex Kidd In Miracle World (SMS)"
"202846";"Alex Kidd in Shinobi World (SMS)"
"9364";"Alex Kidd In The Enchanted Castle (SMD)"
"10136";"Alex Kidd: The Lost Stars (SMS)"
"8966";"Alexandra Ledermann - Le Haras De La Vallée"
"9005";"Alexandra Ledermann - La Colline Aux Chevaux Sauvages"
"8867";"Alice Au Pays Des Merveilles"
"10301";"Alien Crush (TGX)"
"10305";"Alien Crush Returns"
"195639";"Alien Monster Bowling League"
"10127";"Alien Soldier (SMD)"
"10199";"Alien Storm (SMD)"
"9448";"Alien Syndrome"
"9505";"All Round Hunter"
"9426";"All-star Karate"
"10513";"All Star Cheer Squad 2"
"9526";"All Star Cheer Squad"
"8940";"Alone In The Dark"
"9825";"Alter Ego"
"9434";"Altered Beast (Arcade)"
"202822";"Altered Beast (SMD)"
"10147";"Alvin And The Chipmunks - The Squeakquel"
"9266";"Alvin Et Les Chipmunks"
"9270";"Alvin Et Les Chipmunks 3"
"195643";"Amazing Race, The"
"140327";"America's Next Top Model"
"195645";"American Mensa Academy"
"10165";"Amf Bowling Pinbusters!"
"10017";"Amf Bowling World Lanes"
"10392";"And Yet It Moves"
"140329";"And-kensaku"
"195647";"Andrew Lloyd Webber Musicals - Sing And Dance"
"9048";"Angry Birds Star Wars"
"9234";"Angry Birds Trilogy"
"9892";"Anima - Ark Of Sinners"
"8701";"Animal Crossing - Let's Go To The City"
"10170";"Animal Kingdom - Wildlife Expedition"
"195651";"Animal Planet - Vet Life"
"195787";"Anime Slot Revolution - Pachi-slot Kidou Senshi Gundam 2 - Ai Senshi-hen"
"8936";"Anno - Créez Votre Monde"
"8814";"Another Code - R - Les Portes De La Mémoire"
"195653";"Anpanman Niko Niko Party"
"10219";"Ant Nation"
"10582";"Antarctic Adventure (NES)"
"9548";"Anubis 2"
"203082";"Appare! Gateball (TGX)"
"10555";"Apprends Avec Les Pooyoos - Episode 3"
"10014";"Apprends Avec Les Pooyoos - Episode 1"
"10194";"Apprends Avec Les Pooyoos - Episode 2"
"140328";"Aqua Panic!"
"195655";"Aquarius Baseball - Genkai No, Sono Saki E."
"9061";"Arc Rise Fantasia"
"10335";"Arcade Essentials"
"195657";"Arcade Shooting Gallery"
"10117";"Arcade Sports"
"195659";"Arcade Zone"
"9772";"Arctic Tale"
"10758";"Are You Smarter Than A 5th Grader ? Back To School"
"140325";"Are You Smarter Than A 5th Grader - Game Time"
"10680";"Are You Smarter Than A 5th Grader ? Make The Grade"
"195661";"Argos No Senshi - Muscle Impact"
"10336";"Arkanoid Plus!"
"9875";"Army Men - Soldiers Of Misfortune"
"195663";"Army Rescue"
"10403";"Around The World"
"195665";"Around The World In 50 Games"
"10091";"Art Of Balance"
"10454";"Art Of Fighting (NG)"
"10416";"Art Of Fighting 2 (NG)"
"10552";"Art Style - Rotozoa"
"10306";"Art Style - Cubello"
"10484";"Art Style - Light Trax"
"9982";"Art Style - Orbient"
"9344";"Arthur Et La Vengeance De Maltazard"
"10323";"Art Style - Rotohex"
"10368";"Ashes Cricket 2009"
"203248";"ASO II : Last Guardian (NG)"
"202954";"Assault (Arcade)"
"8822";"Astérix Aux Jeux Olympiques"
"9518";"Astro Boy - The Video Game"
"203564";"Astro Bugz Revenge"
"10423";"Athletic Piggy Party"
"203308";"Atlantis no Nazo (NES)"
"203048";"Atomic Runner (SMD)"
"195667";"Atrevete A Sonar"
"202930";"3-2-1, Rattle Battle!"
"10210";"Attack Of The Movies 3d"
"9585";"Atv Fever"
"10450";"Atv Quad Kings"
"8962";"Avatar - Le Dernier Maître De L'air"
"9173";"Avatar - Le Dernier Maître De L'air - Into The Inferno"
"9033";"Avatar - Le Dernier Maître De L'air - Le Royaume De La Terre En Feu"
"9473";"Axelay (SNES)"
"10318";"Aya And The Cubes Of Light"
"10319";"Babel Rising"
"9633";"Baby Foot"
"140360";"Babysitting Mama"
"203692";"Back to Nature"
"10774";"Backyard Baseball '09"
"10929";"Backyard Baseball '10"
"10926";"Backyard Football '08"
"10918";"Backyard Football '09"
"10837";"Backyard Football '10"
"195675";"Backyard Sports - Rookie Rush"
"10798";"Backyard Sports - Sandlot Sluggers"
"202932";"Bahamut Lagoon (SNES)"
"203046";"Bahamut Senki (SMD)"
"140352";"Bakugan - Battle Brawlers - Toys'r'us Edition"
"9174";"Bakugan Battle Brawlers"
"9248";"Bakugan Battle Brawlers - Les Protecteurs De La Terre"
"203694";"Bakutan"
"202956";"Bakutotsu Kijuutei : Baraduke 2 (Arcade)"
"10455";"Balloon Fight (NES)"
"10079";"Balloon Pop"
"203696";"Balloon Pop Festival"
"10035";"Balls Of Fury"
"9311";"Band Hero"
"10721";"Bang!"
"202958";"Baraduke (Arcade)"
"9433";"Barbie Dreamhouse Party"
"195677";"Barbie And The Three Musketeers"
"10975";"Barbie And Her Sisters Puppy Rescue"
"9751";"Barbie Cavalière - Stage D'equitation"
"9105";"Barbie - Star De La Mode"
"9394";"Barbie Princesse De L'ile Merveilleuse"
"9635";"Barbie Et Le Salon De Beauté Des Chiens"
"9454";"Baroque"
"10768";"Baseball (NES)"
"10208";"Baseball Blast !"
"10718";"Baseball Stars 2 (NG)"
"203310";"Bases Loaded (NES)"
"10906";"Bashi Blocks"
"195679";"Basketball Hall Of Fame - Ultimate Hoops Challenge"
"195681";"Bass Fishing Wii - Rokumaru Densetsu"
"140351";"Bass Fishing Wii - World Tournament"
"195683";"Bass Pro Shops - The Hunt - Trophy Showdown"
"140350";"Bass Pro Shops - The Strike"
"195719";"Bass Pro Shops - The Strike - Tournament Edition"
"10193";"Bass Pro Shops - The Hunt"
"10391";"Strike, The"
"140349";"Batman - The Brave And The Bold - The Videogame"
"10583";"Battle City (NES)"
"10788";"Battle Lode Runner (TGX)"
"8982";"Combat De Géants - Dinosaures"
"10176";"Battle Of The Bands"
"10883";"Battle Poker"
"9965";"Battle Rage - The Robot Wars"
"9525";"Battle Vs Chess"
"9375";"Battleship"
"10171";"Beach Fun Summer Challenge"
"9953";"Beastly"
"9697";"Bébés Party"
"9575";"Bee Movie Game"
"10178";"Beer Pong!"
"9552";"Beijing 2008 - Le Jeu Vidéo Officiel Des Jeux Olympiques"
"10093";"Bejeweled 2"
"10102";"Ben 10 - Alien Force - The Rise Of Hex"
"9382";"Ben 10 - Alien Force - Vilgax Attacks"
"9969";"Ben 10 - Galactic Racing"
"9216";"Ben 10 Omniverse"
"9625";"Ben 10 Omniverse 2"
"9058";"Ben 10 Ultimate Alien - Cosmic Destruction"
"9256";"Ben 10 - Alien Force"
"9442";"Ben 10 - Protector Of Earth"
"195721";"Benjamin Blümchen - Törööö Im Zoo"
"203086";"Benkei Gaiden (TGX)"
"10355";"Bermuda Triangle"
"10834";"Best Of Tests Academy"
"8960";"Beyblade - Metal Fusion"
"195691";"Bibi And Tina - Das Große Reiterfest"
"195689";"Bibi Blocksberg - Das Grosse Hexenbesen-rennen 2"
"195693";"Bibi Blocksberg - Das Grosse Hexenbesen-rennen!"
"9249";"Bienvenue Chez Les Ch'tis"
"9181";"Bienvenue Chez Les Robinson"
"203698";"Big Bass Arcade"
"9822";"Big Beach Sports"
"9868";"Big Beach Sports 2"
"140359";"Big Brain Academy - Wii Degree"
"195695";"Big Buck Hunter Pro"
"10239";"Big Family Games"
"10780";"Big Kahuna Party"
"9716";"World Championship Sports"
"140348";"Big League Sports - Summer"
"10451";"Big Time Rush - Dance Party"
"10711";"Big Town Shoot Out"
"195697";"Bigfoot - King Of Crush"
"10733";"Bigfoot Collision Course"
"9261";"Billy The Wizard"
"10899";"Billy's Boot Camp - Enjoy Diet"
"203314";"Binary Land (NES)"
"10489";"Bingo Party Deluxe"
"10189";"Bio Miracle Bokutte Upa (NES)"
"10561";"Bio-Hazard Battle (SMD)"
"9595";"Bionicle Heroes"
"203500";"Bishoujo Janshi Suchie-Pai (SNES)"
"10013";"Bit Boy!!"
"10107";"Bit.trip Beat"
"9037";"Bit.trip Complete"
"10137";"Bit.trip Core"
"9771";"Bit.trip Fate"
"10429";"Bit.trip Flux"
"9802";"Bit.trip Runner"
"10310";"Bit.trip Void"
"10652";"Bittos+"
"10154";"Black Belt (SMS)"
"10101";"Black Tiger (Arcade)"
"10498";"Blades Of Steel (NES)"
"9663";"Blast Works - Build Trade Destroy"
"10483";"Blaster Master (NES)"
"10394";"Blaster Master Overdrive"
